1699003200-99,https://namu.wiki/w/%EA%B3%A0%EC%9A%B0%EB%9E%80,"사나운 폭풍 도깨비
고우란(ゴウラン)
(CV. 테라소마 마사키)
","내 이름은 고우란.
영원을 사는 위대한 도깨비다.
어차피 찰나의 인연이지만…
당분간 함께하겠다. 감사하게 생각하거라.","여기에 와서 새로운 경지에 도달할 줄이야…
너희와 보낸 사소한 시간도 쓸모없진
않았다는 건가.
흠, 수행의 길은 아직도 멀고 심오하군.","사나운 폭풍 도깨비
고우란(ゴウラン)
(CV. 테라소마 마사키)
종족: 요괴   성별: 남성   공격타입: 격투   클래스: 서포터   속성: 풍속성   레어도★5"," 열공굉폭장
바람을 가를 듯한 기세로 강한 팔을 휘둘러 전방의 적에게 풍   속성: 대미지","출신 캐릭터 스토리

야마토의 도시

STORY 1. 사나운 초월자- 의뢰를 받아 요괴를 토벌하러 간 아르크 일행은 코하네의 스승인 폭풍 도깨비 '고우란'과 만난다. 아르크 일행의 안내로 별을 보는 마을에 오게 된 고우란은 이세계까지 수행하러 간 코하네를 꾸짖고, 술과 밥을 요구하며 걸어가 버린다.
STORY 2. 봉인된 기억- 마물 퇴치로 사막에 간 아르크 일행은 도적에 습격당하려는 마을을 구하기로 결심한다. 라이트 일행에게 남을 돕는 것에 대해 묻고 그 대답을 들은 고우란은 옛날 일을 떠올리게 되고. 도적들에게 습격당한 남매를 구한 고우란은 변덕이라면서 괴로운 듯 그 자리를 떠난다.
STORY 3. 제행무상의 끝에- 명상 중에 잡념을 품게 되는 경우가 많아진 고우란은 별을 보는 마을을 떠나버린다. 그리고 찾아온 스이젠에게 백귀야행 이야기를 듣고 아르크 일행은 격퇴하러 나서고, 위기에 빠진 아르크 일행에게 달려간 고우란은 과거를 속죄하고 다시 별을 보는 마을에 눌러앉게 되었다.",
1699003196-98,https://namu.wiki/w/%EA%B3%A8%EB%A0%98(%EC%9B%94%EB%93%9C%20%ED%94%8C%EB%A6%AC%ED%8D%BC),"사막의 수호자
골렘(ゴーレム)
","안녕하세요. 골렘. 입니다......당신이. 마스터. 입니까?
지시.를. 내려주십시오.","기능 상승.을. 확인","사막의 수호자
골렘(ゴーレム)
종족: 기계   성별: 남성   공격타입: 격투   클래스: 탱커   속성: 화속성   레어도★2"," 그랜드 프레스
전방에 고속으로 돌진하여 부딪친 적의 주위에 화   속성: 대미지 / 아군에게 관통 효과","출신 캐릭터 스토리
모래 왕국
모래의 왕국의 유적을 지키던 기계 인형. 현재는 왕가에 의해 개체별로 관리되고 있다. 파묻힌 유적에서 가끔씩 관리에서 벗어난 개체가 발견된다.","노말 스테이지 2-9-5, EX 스테이지 2-9-3에서 획득할 수 있다."
1699003193-97,https://namu.wiki/w/%EA%B7%B8%EB%A6%AC%EA%B7%B8(%EC%9B%94%EB%93%9C%20%ED%94%8C%EB%A6%AC%ED%8D%BC),"세계 최강을 노리는 모험가
그리그(グリーグ)
(CV. 우에다 유지)
","그리그다!
언제는 나를 의지하라고!
바다든 산이든
어디라도 달려갈 테니까!","너희의 뒤는 내가 지킨다!
나의 뒤는 너희가 지킨다!
그것이 세계 제일의 모험가가 된다는 거잖아?","세계 최강을 노리는 모험가
그리그(グリーグ)
(CV. 우에다 유지)
종족: 인간   성별: 남성   공격타입: 검사   클래스: 어태커   속성: 암속성   레어도★4"," 라이엇 액스
큰 도끼를 회오리처럼 휘둘러, 자신의 주위에 있는 적에게 암   속성: 대미지 / 자신에게 공격력 상승 효과 / 리더가 암속성일 때, 파워 플립 대미지 상승 효과","출신 캐릭터 스토리
흔들림의 도시
팔페브라 근교 시골 출신 모험가. 거대한 도끼를 휘두르는 중갑 전사지만 성격은 상냥하고 태평한 젊은이. 또래 친구들과 어울린 경험이 적고, 실은 그로 인해 사람들과 어울리는 데 있어서 서투른 점을 신경 쓴다.
STORY 1. 나한테 맡겨 줘!- 대량의 마물들에게 습격당해 절체절명인 아르크와 라이트, 그곳에 그리그가 나타나 도끼로 마물들을 날려버린다. 하지만 그 자신이 마물들을 다른 계층에서 데리고 왔기에 다시 둘러싸이게 된다. 그리그가 미궁에 구멍을 내고 도망치려 하지만 실패. 하지만 미궁에 붕괴가 일어나고 그에 놀란 마물들의 허점을 찌르고는 가까스로 탈출에 성공한다.
STORY 2. 영웅 소망- 자신의 아이가 독사에게 물려 슬퍼하는 남성을 위해, 그리그와 아르크 일행은 독사의 둥지에 약초를 찾으러 간다. 약초는 손에 넣지만, 그리그가 독사에게 물려버린다. 숨기고 있다 마을에 돌아가자마자 쓰러지는 그리그. 아르크가 말없이 참고 있었다는 것을 화내자, 그는 ""폐가 될지도 모른다고 생각했다""고 말하며 반성한다.
STORY 3. 완전히 부탁해!- ""마을을 산적으로부터 지켜주세요""라며 의뢰해 온 곳이 고향 마을이라는 걸 깨달은 그리그는, 아르크 일행에게도 도움을 부탁하고 의뢰를 맡으러 마을로 향한다. 시로의 지휘로 마을 사람이 바리케이드를 만들어 수비를 강화하고, 쳐들어온 산적을 그리그의 활약으로 격퇴한다. 아르크 일행은 촌장에게 감사 인사와 함께, 앞으로도 그리그를 잘 부탁한다는 인사를 받는다.",
1699003190-96,https://namu.wiki/w/%EA%B7%B8%EB%A6%B0%20%ED%83%B1%ED%83%B1,"바람 탱탱
그린 탱탱(グリーンプル)
","휴휴~ 휴휴~ 루~
(나, 어디든 따라갈게)","휴~루~! (바람이, 분~다~!)","바람 탱탱
그린 탱탱(グリーンプル)
종족: 정령   성별: 불명   공격타입: 격투   클래스: 밸런스   속성: 풍속성   레어도★1"," 탱탱 프레스
잠시 동안, 왼쪽 방향으로 이동해서 접촉한 적과 그 주위의 적에게 풍   속성: 대미지","출신 캐릭터 스토리
불명
쓰러뜨리면 금방 기화되어 버려서 정체가 무엇인지 알 수 없는 수수께끼의 생물. 바람의 정령에게 영향을 받는 듯하다. 금방 바람에 날아가 버린다.","노말 스테이지 4-9-2, EX 스테이지 1-1-1, 4-9-1에서 획득할 수 있다.다른 탱탱들과 다르게 혼자 탱탱이 아닌 풀로 번역되어 있었던 적이 있다."
1699003186-95,https://namu.wiki/w/%EA%B8%80%EB%9D%BC%EC%9D%B4%EB%93%9C(%EC%9B%94%EB%93%9C%20%ED%94%8C%EB%A6%AC%ED%8D%BC),"강철 방패의 검사
글라이드(グライド)
(CV. 시모자키 히로시)
","글라이드다. 오래도록 용병으로 살았지.
지금은 좀 찾을 게 있어서 말이야……
마술 종류를 잘 아는 녀석은 없나?","재난이 겹친다 해도 강하게 살아남는다
그것이 전장에서 배운 나의 신조야.
이 방패, 다시 한번 사용해 주지!","강철 방패의 검사
글라이드(グライド)
(CV. 시모자키 히로시)
종족: 인간   성별: 남성   공격타입: 검사   클래스: 밸런스   속성: 화속성   레어도★4"," 플레임 스트랏슈
닿으면 작렬하는 화염참을 자신의 정면으로 날려 명중한 적과 그 주위에 화   속성: 대미지 / 자신에게 공격력 상승 효과","출신 캐릭터 스토리
흔들림의 도시
가업인 용병을 그만두고 모험가가 된 전직 병사. 오른팔의 방패는 자아를 가지고 있으며, 저주를 받아 벗을 수 없다. 멋대로 떠드는 방패를 싫어하지만 방패를 사용한 전투는 일류.
STORY 1. 보물 감정!- 팔페브라에서 만난 검사 글라이드는 저주받은 방패를 차고 있었다. 똑같이 저주받은 자로서 간과할 수 없었던 라이트가 동료가 되자고 권유한다
STORY 2. 깨어난 힘!- 저주를 푸는 데 실패하고, 방패의 수다는 라임을 탈수록 강화되어 버린다. 하지만 동시에 방패의 능력 자체도 강화되어, 실망 반 기쁨 반 상태인 글라이드였다
STORY 3. 저주 풀기에 재도전!- 스텔라의 추천으로 글라이드는 안드로이드에게 저주의 방패를 진단받는다. 안드로이드는 메모리를 빼면 저주가 풀릴지도 모른다고 말하지만, 그러면 추억까지 소실되어 버린다. 한동안 생각한 글라이드는 수다만 원래대로 돌려놓기로 했다",
1699003183-94,https://namu.wiki/w/%EA%B8%B8%EC%8A%AC%EB%A1%AF,"광전사
길슬롯(ギルスラッド)
(CV. 사토 타쿠야)
","하하~! 나는 길슬롯이다!
보시다시피 싸우는 것밖에 재능이 없는 바보다.
용도를 착각하지 말라고?","하하하하하!! 내가 할 일은 항상 같아.
앞장서서 뛰어드는 것뿐!
……그러니까, 뒤는 부탁한다?","광전사
길슬롯(ギルスラッド)
(CV. 사토 타쿠야)
종족: 인간   성별: 남성   공격타입: 검사   클래스: 서포터   속성: 화속성   레어도★3"," 엑스 배니시
힘을 담아 자신의 공격력 상승 + 파워 플립 대미지 상승 효과","출신 캐릭터 스토리
흔들림의 도시
흔들리는 미궁 세계 출신의 전사. 단독으로 무모한 전투를 반복하는 전투광으로, 『목숨도 두려워 않는 길슬롯』이라는 이름으로 불린다.
STORY 1. 죽음을 모르는 길슬롯- 자신의 목숨을 돌보지 않고 싸움을 즐기는 길슬롯. 길드 명령으로 함께 의뢰를 받게 된 아르크는, 절제하며 생활하는 모습의 길슬롯을 다른 세계로 초대한다
STORY 2. 또 한 명의 죽음을 모르는 자- 약초를 찾는 스텔라와 함께 이세계로 온 길슬롯은, 결심하면 바로 행동하는 자세를 보고 엉뚱함에도 예절이 있다며 타이른다. 그리고 발견한 약초를 스텔라에게서 받아 들고, 두 사람은 함께 돌아갔다",
1699003180-93,https://namu.wiki/w/%EB%82%98%EA%B8%B0%ED%95%98%EB%9D%BC%20%EB%82%98%EC%98%A4,"성해의 능력자 
나기하라 나오(凪原ナオ)
(CV. 아사미 하루나)
","나오의 이름은 솔직함이란 뜻!
나기하라 나오예요!
오빠한테는 비밀로 하고 잠깐
모험을 떠나지 않을래요~?","나오도 싸울 거야.
기다리기만 하는 건, 더는 싫으니까!
후후후후후.
걱정이나 열심히 하면 되잖아?","성해의 능력자 
나기하라 나오(凪原ナオ)
(CV. 아사미 하루나)
종족: 인간   성별: 여성   공격타입: 보조   클래스: 힐러   속성: 화속성   레어도★4"," 성해 영역
성해의 능력으로 영역을 전개하여 파티 전체의 HP 회복 + 공격력 상승 효과 + 약화 효과 1개 회복","출신 캐릭터 스토리
종국의 시원
나기하라 나오. 중학교 3학년, 15세. 아르크의 친동생. ""허무""와 접촉해 소멸할 뻔했지만, 자신을 재구축하는 데 성공한 모습. 오빠보다도 막무가내인데다가 천진난만해 보이지만, 시로 말에 따르면 쏙 빼닮았다고 한다.
STORY 1. -- 

STORY 2. -- 

STORY 3. --",
1699003177-92,https://namu.wiki/w/%EB%82%98%EC%8B%9C%EB%A5%B4(%EC%9B%94%EB%93%9C%20%ED%94%8C%EB%A6%AC%ED%8D%BC),"마검에 홀린 소녀
나시르(ナシール)
(CV. 노미즈 이오리)
","나는…… 나시르…….
부탁이야…… 날 좀…… 내버려 둬…….","『목소리』가 들렸어.
계속, 계속 전부터 들렸어.
용서하면 안 된다고 외치고 있었어.
그러니까 더는 망설이지 않아…….","마검에 홀린 소녀
나시르(ナシール)
(CV. 노미즈 이오리)
종족: 인간   성별: 여성   공격타입: 검사   클래스: 어태커   속성: 화속성   레어도★4"," 아그니마나
마검이 내뿜는 불타오르는 화염으로 전방을 불태우고, 명중한 적과 그 주위에 화   속성: 대미지","출신 캐릭터 스토리
모래 왕국
뜨거운 사막 지대의 거리에서 거대한 검을 껴안고 도망치려 헤매고 있던 소녀. 겁에 질린 눈동자 속에는 분노와 증오의 불꽃이 숨어 있다.
STORY 1. 마검에 홀린 소녀- 아르크 일행은 정신을 잃은 나시르를 보호하고, 눈을 뜬 그녀와 이야기를 하자, 갑자기 병사들에게 습격받는다. 이것을 쫓아버리고 아르크 일행은 도망쳤지만, 궁지에 몰리게 된다. 그러자 나시르는 마검의 힘으로 병사들을 베어 쓰러뜨린다. 목숨까지 뺏으려고 하는 걸 막은 아르크 일행은, 그대로 그녀를 별을 보는 마을로 데려간다.
STORY 2. 원망의 소용돌이- 악몽에 끙끙거리다 눈을 뜬 나시르는 누구에게도 행선지를 말하지 않고 혼자서 전 주인의 저택을 방문한다. 마검의 힘으로 병사들을 쓰러뜨리고 노예상을 추궁하지만, 때맞춰 시로가 이것을 막는다. 나시르는 울면서 궁전을 나오지만 많은 노예 여성들에게 감사의 말을 듣게 된다.
STORY 3. 불꽃의 목소리- 기분 전환을 위해 사막에 거닐던 나시르는 쓰러진 소녀를 발견하고 일행과 함께 간호한다. 데리러 온 도적을 마검의 힘으로 쫓아내고, 무사히 소녀를 부모에게 돌려보낸 나시르는, 마검도 불꽃도 목소리도 모두 자신의 것이라며 받아들인다.",
1699003174-91,https://namu.wiki/w/%EB%82%98%EC%B8%A0%ED%82%A4%20%EC%8A%A4%EB%B0%94%EB%A3%A8(%EC%9B%94%EB%93%9C%20%ED%94%8C%EB%A6%AC%ED%8D%BC),"운명에 저항하는 소년
나츠키 스바루(ナツキ・スバル)
(CV. 코바야시 유스케)
","내 이름은 나츠키 스바루! 무지몽매하고
천하불멸의 무일푼! ……이 대사도 오랜만이네.
이래저래 신세 좀 질 테니까, 잘 부탁해!","에밀리아땅을 지키기 위해서라도, 나도
조금이라도 더 성장해야만 하겠지.
무리하지 않을 정도로, 더 높은 곳을 노리겠어!","운명에 저항하는 소년
나츠키 스바루(ナツキ・スバル)
(CV. 코바야시 유스케)
종족: 인간   성별: 남성   공격타입: 특수   클래스: 서포터   속성: 암속성   레어도★4"," 밝힐 수 없는 마녀의 저주
능력을 폭로하려한 페널티로 자신의 HP와 맞바꿔 파티 전체에 스킬 대미지 상승 효과","출신 캐릭터 스토리
불명
어느 날 갑자기 루그니카 왕국으로 전이해버린 소년. 자신이 죽으면 특정 시간까지 되돌아가는 '사망회귀' 능력을 사용해 에밀리아 일행에게 다가오는 위기들을 돌파해 왔다. 겁 많고 소심하지만 무슨 일이 있을 때는 근성을 보여준다.
STORY 1. 위험성의 재인식- 스바루는 편지를 전하러 온 아르크 일행에게 거듭 부탁하여 함께 미궁을 방문한다. 해이해진 마음에 함정에 걸려 아르크 일행과 떨어지게 된 스바루는 마물에게 습격당하고, 목숨을 잃을지도 모르는 위기 상황에 빠지게 된다. 간발의 차로 구조된 스바루는 아르크 일행의 충고를 듣고, 에밀리아의 힘이 되기 위해 달라질 것을 다짐한다.
STORY 2. 변하기 위한 한 걸음- 스바루는 만일의 사태에서도 자신을 지킬 수 있도록 라이트에게 가르침을 구하고, 실전 경험을 쌓기 위해 숲의 세계를 방문한다. 그곳에서 본 적도 없는 생김새의 생명체 키노를 마주하고 겁먹지만, 각오를 다지고 훈련에 임한다.
STORY 3. 에밀리아를 위해서- 훈련 중 스바루는 아르크 일행과 함께 궁지에 빠진 가족을 구한다. 라이트에게 성장을 인정받고, 아르크가 강해질 때까지 힘낼 수 있었던 이유를 묻자, 스바루는 에밀리아의 힘이 되고 싶다고 말하며 더욱 성장하겠다고 맹세한다.",
1699003171-90,https://namu.wiki/w/%EB%84%A4%EB%B9%84%EC%95%84,"시간을 읽는 자
네비아(ネヴィア)
(CV. 사토 아케미)[1]
","저는 네비아 투빈즈.
네. 이 만남은 이미 예측했었습니다.
당신을 돕도록 하죠.","교활하게 현자의 옷을 찢고
자신을 속이던 나날은 여기서 끝이에요.
저는 다시 세계를 향해 분노하겠어요…","시간을 읽는 자
네비아(ネヴィア)
(CV. 사토 아케미)[1]
종족: 인간
 짐승    성별: 여성   공격타입: 보조   클래스: 재머   속성: 풍속성   레어도★5"," 두움 카르크
가장 가까운 적을 향해서 지면에서 거대한 수목을 자라게 해서 명중한 적에게 풍   속성: 대미지 + 풍   속성: 내성 저하 효과를 2개 부여 + 강화효과를 2개 제거","출신 캐릭터 스토리
송곳니의 전장
""견자이자 검자인 현자""라고 불리우는 표범족의 주술사. 견족과 묘족의 전쟁이 파멸로 인도할 것이란 미래를 예측하고 평화 협정을 제안하지만 사람들은 증오로 인해 그 제안을 거절하고 그녀는 은둔하게 되었다.
STORY 1. 현자- 미래를 예지해 일찍이 쿠로 일행보다 먼저 평화 협정을 제안했다고 알려진 현자 ""네비아""를 찾아온 아르크 일행. 네비아는 협력은 아끼지 않겠지만 평화는 오래가지 않을 것이라고 말한다. 미래를 보고 사람들의 연약함에 미래를 포기한 네비아에게 쿠로는 별을 보는 마을로 가서 아르크 일행과 함께 행동할 것을 제안한다.
STORY 2. 분노- 별을 보는 마을로 온 뒤에 쿠로에게 들은 대로 아르크를 관찰하는 네비아. ""흐름""을 보면서도 자신의 의지를 놓지 않는 아르크에게 자신의 무력함에 대해 얘기하는 네비아였지만 틀리고 싶지 않을 뿐이라고 대답한 아르크의 말에 의해 자신의 감정을 이해한 네비아는 쿠로를 도우러 간다.
STORY 3. 세계에 도전하는 자- 쿠로 일행을 없애려고 하는 반란분자들의 위치를 파악한 아르크 일행은 쿠로 일행과 함께 반란분자들에게 ""안식처""를 만들어 주기 위해 행동을 개시한다. 평화가 끝나는 미래가 조금 미뤄졌다는 걸 알게 된 쿠로 일행은 천년 이상 미뤄주겠다며 결의를 다진다. 그런 쿠로 일행을 만난 것에 대해 네비아는 감사해한다.",
